Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,20.0,IND,NBA,PF,3.0,0.0,40.0,2.0,13.0,0.154,0.0,2.0,0.0,2.0,11.0,0.182,0.154,1.0,2.0,0.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,8.0,5.0
2002-03,22.0,IND,NBA,SF,6.0,0.0,103.0,7.0,33.0,0.212,0.0,4.0,0.0,7.0,29.0,0.241,0.212,4.0,6.0,0.667,7.0,15.0,22.0,5.0,6.0,3.0,10.0,21.0,18.0
2003-04,23.0,IND,NBA,PF,16.0,2.0,427.0,60.0,140.0,0.429,2.0,5.0,0.4,58.0,135.0,0.43,0.436,30.0,55.0,0.545,33.0,69.0,102.0,12.0,23.0,9.0,28.0,56.0,152.0
2006-07,26.0,GSW,NBA,PF,11.0,5.0,262.0,39.0,98.0,0.398,15.0,38.0,0.395,24.0,60.0,0.4,0.474,19.0,30.0,0.633,17.0,34.0,51.0,6.0,5.0,7.0,10.0,40.0,112.0
2010-11,30.0,DEN,NBA,PF,5.0,0.0,70.0,10.0,22.0,0.455,5.0,10.0,0.5,5.0,12.0,0.417,0.568,3.0,4.0,0.75,1.0,6.0,7.0,5.0,3.0,0.0,4.0,7.0,28.0
2011-12,31.0,DEN,NBA,PF,7.0,0.0,163.0,24.0,75.0,0.32,10.0,35.0,0.286,14.0,40.0,0.35,0.387,10.0,15.0,0.667,7.0,23.0,30.0,6.0,3.0,1.0,3.0,13.0,68.0
2013-14,33.0,WAS,NBA,PF,7.0,0.0,59.0,6.0,15.0,0.4,0.0,7.0,0.0,6.0,8.0,0.75,0.4,5.0,7.0,0.714,1.0,15.0,16.0,0.0,3.0,0.0,4.0,14.0,17.0
Career,,,NBA,,55.0,7.0,1124.0,148.0,396.0,0.374,32.0,101.0,0.317,116.0,295.0,0.393,0.414,72.0,119.0,0.605,69.0,163.0,232.0,37.0,43.0,20.0,60.0,159.0,400.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,25.0,2.0,570.0,69.0,186.0,0.371,2.0,11.0,0.182,67.0,175.0,0.383,0.376,35.0,63.0,0.556,43.0,85.0,128.0,20.0,29.0,12.0,39.0,85.0,175.0
2 seasons,,DEN,NBA,,12.0,0.0,233.0,34.0,97.0,0.351,15.0,45.0,0.333,19.0,52.0,0.365,0.428,13.0,19.0,0.684,8.0,29.0,37.0,11.0,6.0,1.0,7.0,20.0,96.0
1 season,,GSW,NBA,,11.0,5.0,262.0,39.0,98.0,0.398,15.0,38.0,0.395,24.0,60.0,0.4,0.474,19.0,30.0,0.633,17.0,34.0,51.0,6.0,5.0,7.0,10.0,40.0,112.0
1 season,,WAS,NBA,,7.0,0.0,59.0,6.0,15.0,0.4,0.0,7.0,0.0,6.0,8.0,0.75,0.4,5.0,7.0,0.714,1.0,15.0,16.0,0.0,3.0,0.0,4.0,14.0,17.0
