Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2000-01,20.0,IND,NBA,PF,3.0,40.0,-4.8,0.18,0.154,0.154,8.1,2.8,5.5,11.9,0.0,0.0,6.7,17.3,,-0.2,0.0,-0.2,-0.213,,-8.8,-4.9,-13.7,-0.1
2002-03,22.0,IND,NBA,SF,6.0,103.0,-0.8,0.253,0.121,0.182,7.4,16.7,11.9,8.8,3.1,2.7,21.9,20.4,,-0.5,0.1,-0.4,-0.182,,-10.2,-0.6,-10.9,-0.2
2003-04,23.0,IND,NBA,PF,16.0,427.0,13.9,0.463,0.036,0.393,8.7,18.4,13.6,5.6,3.0,1.7,14.6,21.7,,-0.1,0.9,0.8,0.094,,-2.2,1.3,-0.9,0.1
2006-07,26.0,GSW,NBA,PF,11.0,262.0,12.8,0.504,0.388,0.306,7.0,15.0,10.9,3.8,1.0,2.1,8.3,20.5,,0.3,0.1,0.4,0.068,,-0.6,-1.6,-2.2,0.0
2010-11,30.0,DEN,NBA,PF,5.0,70.0,12.8,0.589,0.455,0.182,1.6,9.5,5.6,13.3,2.2,0.0,14.4,18.1,,0.1,0.0,0.1,0.064,,1.5,1.5,3.0,0.1
2011-12,31.0,DEN,NBA,PF,7.0,163.0,10.4,0.417,0.467,0.2,4.4,14.0,9.3,5.6,1.0,0.4,3.5,22.8,,0.0,0.1,0.1,0.035,,0.1,-2.1,-2.0,0.0
2013-14,33.0,WAS,NBA,PF,7.0,59.0,5.2,0.47,0.467,0.467,2.0,29.6,15.7,0.0,2.8,0.0,18.1,17.7,,-0.1,0.1,0.0,0.037,,-8.7,1.4,-7.2,-0.1
Career,,,NBA,,55.0,1124.0,10.6,0.446,0.255,0.301,6.8,16.3,11.5,5.9,2.1,1.4,11.8,20.9,,-0.5,1.4,0.9,0.038,,-2.6,-0.3,-2.8,-0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,25.0,570.0,9.9,0.409,0.059,0.339,8.5,17.0,12.7,6.6,2.8,1.7,15.4,21.2,,-0.8,1.0,0.3,0.022,,-4.1,0.5,-3.6,-0.2
2 seasons,,DEN,NBA,,12.0,233.0,11.1,0.456,0.464,0.196,3.6,12.6,8.2,7.9,1.3,0.3,6.2,21.4,,0.1,0.1,0.2,0.044,,0.5,-1.0,-0.5,0.1
1 season,,GSW,NBA,,11.0,262.0,12.8,0.504,0.388,0.306,7.0,15.0,10.9,3.8,1.0,2.1,8.3,20.5,,0.3,0.1,0.4,0.068,,-0.6,-1.6,-2.2,0.0
1 season,,WAS,NBA,,7.0,59.0,5.2,0.47,0.467,0.467,2.0,29.6,15.7,0.0,2.8,0.0,18.1,17.7,,-0.1,0.1,0.0,0.037,,-8.7,1.4,-7.2,-0.1
